country,dems,repubs,total
UK,22997645,34192096,57189741
Switzerland,14868986,18617365,33486351
Germany,10676515,15004908,25681423
Japan,6734155,8795997,15530152
Ireland,4979050,7692317,12671367
France,5109943,6274922,11384865
Netherlands,4193980,6738270,10932250
Canada,4450592,5711478,10162070
Belgium,3135435,3492465,6627900
Denmark,1889129,2123459,4012588
Italy,1189600,2118265,3307865
Spain,1030975,1488600,2519575
Mexico,469059,1759237,2228296
Sweden,508527,987686,1496213
Australia,591754,843587,1435341
Israel,483700,803250,1286950
South Korea,565000,601500,1166500
Brazil,231000,802750,1033750
China,321150,638900,960050
Panama,266020,618199,884219
Luxembourg,421650,434192,855842
Singapore,131700,202060,333760
Portugal,57550,38000,95550
Norway,21000,40250,61250
United Arab Emirates,19500,32700,52200
Finland,9500,24700,34200
Malaysia,19000,8000,27000
Saudi Arabia,8000,4500,12500
Taiwan,8500,0,8500
Russia,0,0,0
